"id","name","component","ra","dec","proper_motion","proper_motion_dir","radial_velocity","spectral_type_full","spectral_type","spectral_type_sub","luminosity_class","visual_magnitude","absolute_magnitude","parallax","bv_color","hd_number"
12903,"Wo 9099",,"02 44 56.4","+10 06 54",0.284,96.2,30.4,"F0 IV","F",0,"IV",4.27,2.7,48.3,0.31,17094
13089,"Gl 154.2",,"03 44 12.1","-64 48 23",0.325,75.6,50.8,"K0 IV","K",0,"IV",3.85,2.1,43.7,1.13,23817
12600,"GJ 2019",,"01 00 37.2","-26 38 15",0.12,175.3,,"K0","K",0,,10.11,8.6,49.9,0.76,
12875,"Wo 9086",,"02 35 54.6","-47 39 57",0.21,119,,"G0","G",0,,11.99,10.1,42.6,0.55,
15107,"Gl 654.4",,"16 22 38.4","+88 36 21",0.029,0,-10.3,"K0","K",0,,8.32,6.1,36,0.87,163545
13552,"Gl 268.1",,"07 12 33.6","-46 45 34",0.172,306.2,1.1,"F0 IV","F",0,"IV",4.48,2.8,46.1,0.32,55892
13069,"Gl 150",,"03 43 14.9","-09 45 49",0.752,352.3,-5.1,"K0 IVe","K",0,"IV",3.53,3.6,103.5,0.92,23249
13073,"Gl 150.2",,"03 44 48.4","+46 02 07",0.337,107.6,20.3,"K0","K",0,,7.71,5.98,45,0.86,23140
12437,"Gl 9.1",,"00 09 24.9","-45 44 51",0.214,145,-9.2,"K0 III","K",0,"III",3.88,2.9,64.5,1.03,496
13302,"Gl 194","B","05 16 40.9","+45 59 55",0.431,169.2,33.9,"G0 III","G",0,"III",0.96,0.45,79,,
12429,"Wo 9003",,"00 07 32.2","-23 49 08",0.348,77.5,-46,"K0 V","K",0,"V",8.7,5.77,26,0.8,283
13075,"Wo 9125",,"03 44 16.2","+24 46 58",0.05,165,,"G0","G",0,,10.81,9.2,48.5,0.7,
13109,"NN 3257",,"03 56 12.0","+59 38 34",0.31,303.9,,"G0","G",0,,6.54,4.9,47,,24409
15562,"NN 4134",,"20 04 07.0","+54 27 58",0.124,157.7,-9,"dK0","K",0,,7.72,6.38,54,0.94,190780
15102,"Gl 654.2",,"17 06 15.8","+15 13 46",0.127,224.9,-30.9,"K0 V","K",0,"V",7.09,6.28,69,0.94,154653
15111,"Gl 656",,"17 10 10.4","-60 43 40",0.612,8.9,8.8,"K0 V","K",0,"V",7.41,6.57,67.8,0.89,154577
13080,"Gl 152",,"03 44 08.9","-38 16 52",0.361,35.9,32,"K0 V","K",0,"V",6.99,5.92,61,0.88,23484
13105,"Gl 155.2",,"03 55 03.7","+61 09 59",0.506,118.2,47.9,"K0 V","K",0,"V",7.86,6.15,45.4,0.83,24238
12596,"GJ 2017",,"00 59 51.5","-25 35 28",0.05,225.1,,"G0","G",0,,9.87,8.7,57.9,0.5,
13193,"NN 3295",,"04 33 54.4","+64 38 01",0.088,299.3,,"G0","G",0,,7.74,5.75,40,,28495
13232,"NN 3312",,"04 46 27.3","+42 20 57",0.065,0,28.8,"G0","G",0,,6.52,5.1,52,,30090
13404,"NN 3376","AB","05 58 21.5","-04 39 04",0.227,163.5,,"G0","G",0,,6.99,5,40,,40397
13420,"Wo 9200",,"06 04 28.4","-45 02 10",0.26,339.7,25.8,"G0 IV-V","G",0,,6.35,4.4,40.2,0.52,41700
13856,"Gl 337","A","09 12 18.0","+14 59 44",0.58,293.8,50.2,"K0 V J","K",0,,7.25,5.54,45.6,0.73,79096
13092,"Wo 9131",,"03 47 04.5","+23 59 42",0.044,158.1,4.3,"F0 V","F",0,"V",8.38,6.8,48.6,0.29,23585
15758,"Gl 828","A","21 27 01.6","-44 48 30",0.314,55.7,8.2,"K0 V","K",0,"V",7.48,6.61,67,0.91,203985
13233,"Gl 176.3",,"04 45 38.8","-50 04 31",0.552,232.5,17,"K0 V","K",0,"V",7.59,6.08,49.9,0.89,30501
13274,"Gl 187.2","A","05 06 40.3","+51 35 50",0.178,187.5,0.6,"F0 V","F",0,"V",5,3.4,47.1,0.33,32537
12426,"Gl 5",,"00 06 37.1","+29 01 15",0.422,114.1,-5.5,"K0 Ve","K",0,"V",6.14,5.37,70.2,0.75,166
12410,"NN 3001",,"00 02 40.1","-34 13 37",0.758,168.6,,"DC9",,,,14.9,14.28,75.2,0.46,
12425,"Gl 4.2","B","00 06 19.1","-49 04 32",0.592,93.9,,,,,,11.5,9.9,48.3,,
12428,"GJ 1003",,"00 07 26.5","+29 14 32",1.89,127.2,,"m",,,,14.18,12.82,53.5,1.49,
12434,"NN 3010",,"00 08 54.4","+20 50 24",0.244,194,,"m",,,,13.54,13.41,94,,
12435,"Gl 7",,"00 09 04.2","-27 07 21",0.683,83.7,,"m",,,,11.72,9.03,29,1.5,
12445,"Gl 11","B","00 13 15.5","+69 19 37",0.772,113.9,,,,,,13.4,11.9,49.6,,
13908,"NN 3559",,"09 31 32.1","+63 03 42",0.111,76.8,-10.4,"F0 IV","F",0,"IV",3.67,1.67,39.8,0.33,81937
13914,"Gl 351","B","09 30 42.3","-40 27 59",0.201,290.1,,"F0 IV","F",0,"IV",4.65,3.69,64.2,,
14198,"Gl 429","A","11 26 44.9","+03 00 44",0.747,283.6,3.8,"K0 IV","K",0,"IV",6.5,5.41,60.4,0.8,99491
14344,"Gl 460",,"12 20 17.5","+26 00 04",0.147,275.8,7.2,"F0 IV","F",0,"IV",6.15,5.02,59.4,0.3,107326
14376,"Gl 471.2",,"12 32 03.9","-16 11 48",0.432,261.9,-0.8,"F0 IV","F",0,"IV",4.3,2.99,54.8,0.37,109085
13900,"Gl 346",,"09 28 51.2","-09 15 59",0.05,158,,"dM0","M",0,,10.52,8.97,49,1.43,
14613,"Gl 534",,"13 54 40.9","+18 23 54",0.369,190,1,"G0 IV","G",0,"IV",2.68,2.78,104.7,0.58,121370
12517,"Gl 24","B","00 36 04.0","-49 07 42",0.41,109.4,4.7,"K0 V","K",0,"V",8.37,5.96,33,0.78,3359
12525,"Gl 27",,"00 39 21.4","+21 15 04",0.588,231.2,-32.9,"K0+ V","K",0,"V",5.85,5.74,95.1,0.85,3651
13608,"Wo 9237",,"07 36 01.5","-03 09 08",0.304,289.4,,"G0","G",0,,7.16,4.4,28,0.57,60779
14031,"Wo 9327",,"10 24 07.8","+65 33 59",0.027,200,-2.6,"A0 p","A",0,,4.97,3.1,41.8,-0.06,89822
13486,"Gl 245",,"06 46 44.1","+43 34 41",0.164,359,-23.9,"G0 V","G",0,"V",5.24,4.34,66.2,0.56,48682
13754,"Wo 9273",,"08 37 50.7","-06 48 25",0.28,275.5,,"G0","G",0,,6.75,5.02,45,0.66,73350
14182,"Gl 426","A","11 21 49.0","+18 11 22",0.183,235.4,-4.1,"K0","K",0,,8.03,6.04,40,0.89,98736
13786,"NN 3516",,"08 51 00.0","+34 49 25",0.061,240.4,,"G0","G",0,,7.6,5.77,43,,75404
14265,"NN 3689","A","11 52 21.1","+09 56 54",0.356,286.1,10.7,"K0","K",0,,7.54,6.54,63,1.06,103112
13954,"Gl 368",,"09 48 34.9","+46 01 15",0.242,113.1,5,"G0.5 Va","G",0,,5.09,4.47,75.3,0.62,84737
13506,"Gl 252",,"06 55 18.5","+25 22 32",0.049,301.8,-15.1,"G0 V","G",0,"V",5.74,4.59,59,0.57,50692
14295,"Gl 454.2","A","12 01 46.1","-34 39 00",0.191,272.1,-4,"G0 V    J","G",0,,7.35,4.51,27,0.59,104471
14372,"Gl 469.2","A","12 30 04.9","-13 23 36",0.253,260.7,1.9,"G0 V    J","G",0,,6.46,4.84,47.4,0.58,108799
14662,"NN 3837",,"14 16 23.0","+46 05 16",0.247,309.7,-8.1,"A0 p","A",0,,4.18,2.23,40.8,0.08,125162
14723,"NN 3860",,"14 36 00.2","+09 44 46",0.317,141.3,-15,"K0","K",0,,7.5,6.63,67,0.99,128311
14730,"Gl 560","A","14 42 30.1","-64 58 28",0.3,218.1,7.2,"F0 Vp","F",0,,3.19,1.86,54.2,0.24,128898
14729,"Gl 559.1",,"14 38 59.8","+64 17 30",0.149,255.6,-23.1,"dG0  e","G",0,,7.54,4.61,26,0.61,129333
13553,"GJ 1095",,"07 15 50.5","+47 14 27",0.188,170.4,85.2,"G0 V","G",0,"V",5.64,4.46,58,0.58,55575
14023,"NN 3594",,"10 18 25.5","-26 29 59",0.053,133.2,29.8,"K0 V","K",0,"V",7.94,6.25,46,0.94,89391
13631,"Gl 288","A","07 45 35.0","-34 10 22",1.7,350.2,102.6,"G0 V","G",0,"V",5.36,4.34,62.5,0.59,63077
14116,"Gl 407",,"10 59 27.6","+40 25 51",0.324,279.2,11.6,"G0 V","G",0,"V",5.05,4.33,71.9,0.61,95128
14402,"Gl 482","A","12 41 39.1","-01 26 56",0.568,270.8,-19.9,"F0 V","F",0,"V",3.46,3.43,98.7,0.36,110379
14403,"Gl 482","B","12 41 39.1","-01 26 56",0.568,270.7,-19.6,"F0 V","F",0,"V",3.52,3.49,98.7,,110380
14153,"Gl 417",,"11 12 32.0","+35 48 51",0.302,236.6,-3.2,"G0 V","G",0,"V",6.41,4.63,44,0.61,97334
14210,"NN 3669","A","11 31 44.8","+14 21 53",0.383,240.1,-4.2,"G0 V","G",0,"V",6.2,4.26,41,0.57,100180
12479,"NN 3030",,"00 21 57.8","+49 12 36",0.22,98,,"m",,,,12.84,11.11,45,,
12481,"NN 3031",,"00 22 15.6","+42 36 42",0.321,213,,"DC9",,,,16.5,14.62,42,0.72,
12484,"GJ 1010","A","00 23 30.9","+77 11 21",0.8,273,,"k-m",,,,11.3,10.32,63.7,1.49,
12485,"GJ 1010","B","00 23 32.9","+77 11 27",0.8,273,,"m",,,,14,13,63.7,,
12488,"GJ 1011",,"00 23 27.8","+24 18 13",0.259,298,,"k-m",,,,14.27,13.2,61.1,1.59,
12490,"NN 3033",,"00 24 35.0","+30 02 25",0.605,90.2,,"m",,,,14.54,13.16,53,1.67,
12492,"NN 3034",,"00 25 20.9","+22 53 13",0.52,204.7,,"m",,,,14.3,12.9,53,,
12496,"NN 3035",,"00 27 06.6","+49 41 52",0.477,123.6,,"m",,,,14.25,12.62,47.1,,
12498,"NN 3036",,"00 28 54.6","+50 22 35",0.44,74,,"m",,,,13.15,12.55,76,,
12499,"GJ 1013",,"00 31 35.9","-05 52 13",1.098,163.1,,"m",,,,12.75,11.7,61.6,1.64,
14903,"Wo 9531",,"15 55 47.3","+37 56 48",0.084,18.9,-11.6,"F0 IV","F",0,"IV",5.45,3.63,43.2,0.33,142908
12578,"GJ 2015",,"00 51 22.3","-27 23 12",0.016,115.6,,"K0","K",0,,10.41,7.02,21,1.08,
15042,"Gl 635","A","16 41 17.2","+31 36 08",0.614,309.9,-70.4,"G0 IV","G",0,"IV",2.91,2.89,99,0.65,150680
15454,"NN 4107",,"19 21 40.0","-17 50 51",0.035,313.1,1.2,"F0 IV","F",0,"IV",3.93,1.89,39.1,0.23,181577
15464,"Gl 760",,"19 25 30.3","+03 06 52",0.268,72,-29.9,"F0 IV","F",0,"IV",3.36,2.66,72.5,0.32,182640
15726,"Gl 822.1","A","21 14 47.9","+38 02 46",0.465,20,-23.1,"F0 IV","F",0,"IV",3.82,2.37,51.4,0.38,202444
15117,"Gl 657",,"17 12 09.2","-43 14 20",0.288,175.4,-27,"F0 IVn","F",0,,3.33,2.13,57.5,0.41,155203
15659,"Gl 807",,"20 45 16.9","+61 50 17",0.826,6.3,-86.8,"K0 IVe","K",0,"IV",3.43,2.84,76.1,0.92,198149
15194,"Gl 684","A","17 34 59.3","+61 52 32",0.568,154.1,-16.3,"G0 Va","G",0,,5.34,4.5,67.9,0.56,160269
15620,"Gl 794.1",,"20 37 34.5","-47 17 26",0.088,38.6,-1.3,"K0 III","K",0,"III",3.11,1.4,44.8,1,196171
15339,"Gl 722.1",,"18 38 02.4","+42 39 57",0.289,78,33.1,"dK0  e","K",0,,8.34,5.87,32,0.82,172393
15357,"Gl 725.1",,"18 44 35.4","+43 49 58",0.107,266.8,-44.6,"K0","K",0,,7.54,6.03,50,0.84,173701
15328,"Wo 9629",,"18 36 27.6","-44 18 19",0.22,225,-10.6,"G0","G",0,,10.23,8.3,40.3,0.62,
15408,"NN 4095","AB","19 05 24.0","+13 52 02",0.1,185,-25,"A0 Vn","A",0,,2.99,1,39.8,0.01,177724
15378,"Gl 732","A","18 53 42.2","-38 36 50",1.011,161.1,,"sdG0","G",0,,12.7,12.08,75.2,1.53,
15473,"Wo 9659",,"19 30 52.5","-06 30 51",0.194,223,58.4,"G0","G",0,,7.29,4.88,33,0.64,183658
15647,"NN 4159",,"20 43 41.2","-00 10 43",0.448,54,,"K0","K",0,,11.47,10,50,1.48,
15845,"Gl 840",,"21 54 44.6","+32 19 44",0.31,136.2,-13.8,"dK0  e","K",0,,7.78,6.23,49,0.92,208313
15826,"NN 4226",,"21 51 05.4","-10 02 19",0.054,76.7,,"G0","G",0,,7.5,6.39,60,,207687
15893,"Gl 850",,"22 11 12.4","+36 15 25",0.249,173.6,-18.3,"K0","K",0,,7.24,5.78,51,0.79,210667
15903,"Gl 851.4",,"22 14 01.2","+57 07 15",0.12,70,-0.6,"K0","K",0,,9.83,8.2,48,0.72,
15657,"Gl 806.1","A","20 46 12.5","+33 58 12",0.484,47.2,-10.9,"K0- III","K",0,"III",2.45,1.03,52,1.03,197989
14918,"Gl 606.2",,"16 01 02.9","+33 18 13",0.798,194.8,18.4,"G0 V","G",0,"V",5.41,4.3,60,0.6,143761
14842,"NN 3903","A","15 24 29.4","+37 22 38",0.171,299.4,-8.6,"F0 V","F",0,"V",4.31,2.43,42,0.31,137391
14915,"Gl 606.1","A","16 10 16.6","-84 13 54",0.32,269,-10.5,"K0 V","K",0,"V",7.68,5.64,39,0.78,142022
14881,"Gl 598",,"15 46 26.8","+07 21 10",0.241,250.9,-68.5,"G0 V","G",0,"V",4.43,4.05,83.9,0.6,141004
14985,"NN 3952",,"16 22 04.1","+01 01 44",0.165,287.2,-45.5,"F0 V","F",0,"V",4.82,3.1,45.3,0.34,147449
15009,"Gl 629",,"16 31 29.8","-39 00 47",0.543,232.5,-50.6,"K0 V","K",0,"V",7.24,5.98,56.1,0.86,148704
12539,"GJ 1019",,"00 43 35.9","+28 26 38",1.062,187,,"m",,,,14.52,13.1,51.9,1.59,
12544,"NN 3051",,"00 44 19.4","+12 37 02",0.33,127,,"m",,,,12.79,11.49,55,1.49,
12545,"NN 3052",,"00 44 20.5","+09 07 35",0.809,91.5,,"m",,,,13.8,13.3,81,,
12548,"Gl 31.2","B","00 44 35.5","-18 57 09",0.35,60,,"m",,,,16.3,14.4,41,,
12550,"NN 3053",,"00 45 00.4","-15 16 23",0.662,151.8,,"m",,,,14.2,13.5,72,,
12559,"NN 3056",,"00 47 08.4","-23 30 34",0.207,141,,"m",,,,14.4,13.06,54,,
12561,"Wo 9029","B","00 47 29.9","-36 57 20",0.396,206,,"m",,,,15.5,13.5,40.7,,
12566,"NN 3058",,"00 48 58.0","+44 34 45",0.187,127,,"m",,,,13.06,11.72,54,,
12568,"Gl 35",,"00 49 10.1","+05 23 16",2.98,155.7,54,"DZ7",,,,12.38,14.2,230.9,0.55,
12573,"NN 3060","A","00 50 33.1","+24 48 59",0.22,102,,"m",,,,12.7,12,71,,
12574,"NN 3061","B","00 50 33.1","+24 48 59",0.22,102,,"m",,,,13.3,12.6,71,,
15905,"NN 4266",,"22 15 02.8","+57 02 54",0.443,83,-1.4,"F0 IV","F",0,"IV",4.19,2.28,41.4,0.28,211336
12610,"NN 3071",,"01 02 24.3","+05 03 42",0.386,54.7,19.7,"K0","K",0,,8.2,6.37,43,1,6101
15923,"Gl 855.1","A","22 24 37.1","-72 15 21",1.477,117.6,25.2,"G0 V J","G",0,,5.98,5.21,70,0.65,211998
15982,"NN 4291",,"22 43 21.9","-06 24 06",0.326,205.7,-18,"K0","K",0,,8.12,6.57,49,0.97,215152
16036,"Gl 886.2",,"23 03 29.7","-34 44 57",0.113,41.5,-6,"F0 IV","F",0,"IV",5.11,3.6,50.2,0.29,217792
16008,"Wo 9800","A","22 52 31.5","-32 52 34",0.034,239.5,16.5,"A0 III","A",0,"III",4.5,2.6,42.4,-0.04,216336
15989,"Gl 871.2",,"22 46 20.5","+50 12 37",0.239,90.5,-50.8,"K0","K",0,,7.86,5.82,39,0.8,215704
16064,"Gl 893.2","A","23 15 53.2","-09 05 14",0.368,92,-25.2,"K0 III","K",0,"III",4.22,2.4,43.3,1.11,219449
12636,"Gl 53.3",,"01 09 43.5","+35 37 16",0.208,121.6,-0.8,"M0 IIIe","M",0,"III",2.05,0.49,48.7,1.57,6860
16126,"NN 4343",,"23 35 25.6","+31 09 40",0.334,213.1,-17.9,"K0","K",0,,7.91,5.92,40,0.84,221851
15920,"Wo 9779",,"22 21 39.0","-01 23 15",0.13,84.9,-25.6,"A0 V","A",0,"V",3.84,2.07,44.3,-0.05,212061
15891,"NN 4261",,"22 10 19.1","+19 37 00",0.128,135.9,21.3,"G0 V","G",0,"V",6.18,5,58,0.69,210460
16119,"Wo 9830",,"23 33 24.4","+42 50 50",0.305,52.9,6.1,"G0","G",0,,7.14,4.6,31,0.58,221613
16057,"Gl 891.1",,"23 12 32.9","+49 24 25",0.13,37.3,11.2,"F0 V","F",0,"V",4.52,2.98,49.1,0.29,219080
12431,"NN 3008",,"00 08 27.1","+17 25 27",0.105,238.3,,"dM0","M",0,,10.79,9.15,47,1.47,
12462,"Gl 14",,"00 17 06.2","+40 56 56",0.562,79.7,3,"dM0.5","M",0,,9,8.26,71,1.36,
12464,"NN 3024",,"00 17 28.3","-08 44 26",0.388,107,,"M0","M",0,,12.49,10.83,46.6,1.57,
12465,"NN 3025",,"00 17 40.9","-08 41 02",0.27,86,,"dM0","M",0,,11,8.82,36.6,1.42,
12470,"Gl 16",,"00 18 16.6","+10 12 08",0.02,180,,"dM0","M",0,,10.9,8.68,35.9,1.5,
12495,"Gl 21",,"00 26 52.7","+70 08 33",0.23,219,,"dM0","M",0,,10.52,9.2,54.4,1.49,
12521,"NN 3044",,"00 38 15.3","+52 19 53",0.25,192,,"M0","M",0,,10.48,8.7,44,1.42,
12526,"Gl 27.1",,"00 39 59.1","-44 15 14",0.546,115.5,,"M0.5","M",0,,11.4,9.57,43,1.49,
12537,"Gl 29.1",,"00 42 48.3","+35 32 54",0.266,70,-0.5,"dM0  e","M",0,,10.52,8.9,47.2,1.5,
12540,"NN 3048",,"00 43 41.6","+23 53 10",0.213,149.9,,"dM0","M",0,,10.97,9.1,42.3,1.34,
12667,"Gl 56.3","B","01 18 39.8","-00 52 28",0.505,121.5,,"M0","M",0,,10.7,8.66,39,1.41,
12670,"NN 3086","A","01 20 03.2","+38 59 23",0.365,60,,"dM0","M",0,,11.39,8.29,24,1.31,
12675,"Gl 57",,"01 21 34.9","-41 39 23",1.345,109.4,29,"dM0.5","M",0,,10.14,8.99,59,1.4,
12697,"NN 3100",,"01 35 37.3","+42 02 21",0.229,144,,"dM0","M",0,,10.99,9.03,40.6,1.3,
12713,"Gl 65.2",,"01 39 41.3","-46 30 35",0.08,166,29.4,"M0","M",0,,9.86,8.94,65.4,1.16,
12726,"NN 3110",,"01 42 55.6","-42 12 14",0.686,101.5,,"M0","M",0,,11.25,9.26,40,,
12741,"NN 3116",,"01 50 28.7","+18 17 41",0.25,105,,"M0","M",0,,10.79,8.7,39,1.38,
12780,"Gl 84.1","A","02 05 23.6","-28 04 09",0.548,40.2,,"M0.5","M",0,,10.92,9.28,47,1.4,
12784,"Gl 84.2","A","02 06 57.9","+45 11 06",0.51,147.9,62,"dM0","M",0,,10.28,8.99,55.3,1.49,
12804,"Gl 88",,"02 12 50.8","-17 41 13",0.519,66.9,34.9,"M0","M",0,,11.09,9.1,40,1.47,
12847,"Gl 99","A","02 28 46.5","+32 15 35",0.421,72,-9.7,"dM0  pJ","M",0,,10.2,7.74,32.2,1.36,
12889,"Gl 105.5",,"02 40 42.5","+01 11 55",0.37,49.7,79,"dM0  p","M",0,,9.52,7.69,43,1.2,
12920,"Gl 116",,"02 52 06.4","+34 23 23",1.342,136.1,-45.7,"dM0","M",0,,9.55,8.67,66.7,1.34,
12923,"NN 3186",,"02 52 24.8","+26 58 29",0.215,178,,"dM0","M",0,,11.11,9.69,52,1.49,
12931,"Gl 118.2","B","02 55 39.0","+26 52 21",0.324,124.6,27,"dM0","M",0,,9.8,8.38,52,1.4,
12956,"Gl 122",,"03 09 05.4","+76 02 51",0.555,157.5,34,"dM0","M",0,,9.82,8.39,51.8,1.38,
12983,"Wo 9111",,"03 14 34.8","+52 20 51",0.517,205.7,-55,"dM0","M",0,,10.24,8.35,41.8,1.26,
12989,"NN 3212",,"03 14 37.2","-09 40 06",,,,"M0","M",0,,11.63,9.64,40,1.55,
13016,"Gl 140","A","03 24 06.1","+23 47 05",0.227,122,,"dM0","M",0,,10.64,9.53,60,1.51,
16144,"GJ 2157",,"23 39 35.5","+58 58 15",0.037,27.5,-43,"K0 V","K",0,"V",7.45,6.07,53,0.86,222366
12420,"Gl 4","B","00 05 41.3","+45 48 41",0.885,98.3,0.1,"M0.5 V","M",0,"V",9.02,8.72,87,1.45,
12958,"Gl 123",,"03 06 26.6","+01 57 59",0.992,156.8,-30.2,"M0 V","M",0,"V",9.09,8.11,63.6,1.38,19305
12988,"Wo 9112",,"03 14 46.9","+08 58 52",0.565,134.5,-21.5,"K1 V","K",1,"V",7.83,6.03,43.6,0.86,20165
12605,"NN 3069",,"01 01 59.8","+54 10 48",0.385,250,,"m",,,,15.12,14.2,66,1.84,
12609,"NN 3070",,"01 01 54.6","-25 45 42",0.13,38,,,,,,11.84,10,41.9,1.23,
12613,"NN 3073",,"01 03 13.7","+31 41 01",0.269,85,,"m",,,,13.64,11.86,44,,
12618,"GJ 1028",,"01 04 53.2","-18 07 29",1.342,71.5,,"m",,,,14.46,14.46,100,1.87,
12620,"GJ 1029",,"01 05 37.9","+28 29 30",1.906,95,,"m",,,,14.8,14.3,79.6,1.89,
12622,"GJ 1030",,"01 06 41.5","+15 16 16",0.32,199,,"k-m",,,,11.43,10.44,63.4,1.47,
12624,"NN 3074",,"01 07 13.7","-32 25 44",0.18,176,,"m",,,,10.76,8.88,42,1.38,
12626,"Gl 53","B","01 08 16.7","+54 55 11",3.77,114.7,,,,,,11,12,134.5,,
12635,"GJ 2021",,"01 09 18.5","-24 30 29",0.265,132,,"m",,,,14.52,13.58,65,,
12674,"Gl 56.5",,"01 21 58.9","+76 42 40",0.049,225.9,-21.8,"dK0","K",0,,7.11,5.89,57,0.82,7924
12683,"Gl 57.1","A","01 23 03.0","-12 57 59",0.477,94.3,30.6,"K0 IV","K",0,"IV",7.85,6.07,44,0.9,8389
13538,"Gl 265","A","07 05 42.0","+27 28 12",0.122,205.2,-25.3,"M0 Ve","M",0,"V",10.22,9.1,59.7,1.32,
13035,"Gl 143.1",,"03 29 20.0","-11 40 39",0.281,165,,"M0 V","M",0,"V",9.98,8.68,55,1.42,
13064,"Gl 148",,"03 41 11.0","+03 36 42",0.234,192.2,4.2,"dM0  p","M",0,,9.59,7.85,44.8,1.37,
13065,"NN 3245",,"03 42 30.4","+12 31 16",1.572,151.5,,"M0.5","M",0,,12.91,11.18,45.1,1.54,
13071,"Gl 150.1","A","03 43 52.5","+16 40 18",0.3,160,36.1,"dM0","M",0,,9.96,8.92,62,1.45,
13072,"Gl 150.1","B","03 43 45.5","+16 40 00",0.3,160,13.3,"dM0","M",0,,10.81,9.77,62,1.48,
13110,"Gl 156",,"03 54 35.8","-06 49 36",0.531,357.6,64.5,"M0 V","M",0,"V",9.02,8.24,69.8,1.36,
13120,"NN 3260",,"04 00 40.0","-23 04 49",,,,"M0","M",0,,11.47,9.64,43,1.48,
13125,"NN 3262",,"04 13 53.2","+82 54 59",0.273,160,7,"dM0","M",0,,10.82,8.94,42,1.44,
13128,"Gl 160.2",,"04 06 34.5","-20 51 08",0.77,177.2,28,"dM0","M",0,,9.68,8.14,49.3,1.22,
13135,"GJ 1067",,"04 12 42.8","+70 12 08",0.1,289,,"dM0","M",0,,9.69,7.75,41,1.23,
13155,"Gl 167.2",,"04 17 09.5","-26 02 59",0.7,58.6,55,"M0","M",0,,11.8,10.37,51.7,1.38,
13247,"NN 3318",,"04 53 55.6","-20 32 23",0.244,349,,"M0 V","M",0,"V",10.12,8.13,40,1.25,
13168,"NN 3278",,"04 23 59.4","+16 43 04",0.12,100,,"dM0","M",0,,12.55,9.54,25,1.49,
13174,"NN 3284",,"04 25 49.1","+15 31 03",0.13,103,,"dM0","M",0,,12.13,10.7,52,1.4,
13295,"Gl 191",,"05 11 40.3","-45 01 07",8.706,131.1,245.5,"M0 V","M",0,"V",8.85,10.91,258.3,1.55,33793
13218,"NN 3307",,"04 40 42.1","+02 13 57",,,,"M0","M",0,,11.24,9.94,55,1.47,
13219,"Wo 9163","AB","04 40 29.2","-09 11 38",0.158,226,,"dM0","M",0,,10.97,9.51,51,1.48,
13317,"GJ 2040",,"05 19 35.1","+03 52 25",0.014,226.3,,"M0 V","M",0,"V",9.86,8.8,60,1.42,242703
13257,"Gl 182",,"04 59 34.6","+01 46 55",0.16,195,18.2,"dM0.5","M",0,,10.09,9.02,61,1.39,
13262,"Gl 184",,"05 03 24.0","+53 07 46",1.989,139.4,66,"dM0","M",0,,9.93,9.08,67.5,1.41,
13264,"Gl 185","A","05 02 28.0","-21 15 24",0.308,211.1,-17.2,"M0 V    J","M",0,,8.46,9.02,129.6,1.41,32450
13352,"Gl 208",,"05 36 31.0","+11 19 40",0.057,195,21.2,"dM0","M",0,,8.8,8.48,86.1,1.4,245409
13366,"Wo 9188",,"05 41 59.3","+15 20 11",0.089,120.3,,"dM0","M",0,,10.61,8.97,47,1.46,
13379,"NN 3367",,"05 47 17.7","-00 00 47",,,,"M0","M",0,,10.99,9.11,42,1.45,
13383,"NN 3369",,"05 48 16.9","-11 08 03",0.425,329,,"M0.5","M",0,,11,9.12,42,1.42,
13393,"Gl 223.1",,"05 54 34.2","-09 23 28",0.452,18,,"dM0","M",0,,10.71,7.52,23,1.17,
13458,"NN 3395",,"06 31 00.9","+50 02 53",,,,"M0","M",0,,11.09,9.67,52,1.5,
13460,"Gl 236",,"06 32 08.5","-27 01 56",0.461,116,113,"M0","M",0,,11.41,10.55,67.3,1.37,
13482,"NN 3409","B","06 46 06.6","+32 33 16",0.528,280.5,,"M0.5","M",0,,12.17,10.54,47.1,1.53,
13490,"Gl 247",,"06 49 57.2","+60 20 06",0.476,29.1,-52.9,"dM0  p","M",0,,8.58,7.1,50.6,1.22,48948
13539,"NN 3425",,"07 07 50.2","+67 12 03",0.279,254,,"dM0","M",0,,11.18,9.92,56,1.51,
13542,"Gl 266",,"07 07 09.6","+03 26 48",0.32,183,,"dM0","M",0,,9.84,7.96,42,1.29,
13545,"NN 3429",,"07 08 39.8","+30 42 47",,,,"M0","M",0,,11.36,9.42,41,1.49,
13549,"NN 3432",,"07 12 11.6","+52 16 29",0.24,205,,"M0","M",0,,11.29,9.6,46,1.48,
13556,"Gl 268.3",,"07 16 20.1","+27 08 27",0.24,187,,"dM0","M",0,,10.85,11.35,126,1.54,
13562,"NN 3438",,"07 18 08.3","+39 16 30",0.28,260,,"M0.5","M",0,,10.33,9.43,66,1.51,
13584,"Gl 275.1",,"07 32 02.2","+68 37 15",0.22,238,4,"dM0","M",0,,10.89,9.59,55,1.43,
13595,"NN 3447","A","07 32 03.2","+17 19 09",0.27,238,,"dM0","M",0,,11.02,9.05,40.4,1.38,
13599,"Gl 277.1",,"07 34 28.3","+62 56 31",0.424,261.8,,"dM0","M",0,,10.49,9.73,70.4,1.55,
13601,"NN 3452",,"07 35 12.5","+54 51 26",0.104,291,,"dM0","M",0,,11.29,10.55,71,1.55,
