"id","name","component","ra","dec","proper_motion","proper_motion_dir","radial_velocity","spectral_type_full","spectral_type","spectral_type_sub","luminosity_class","visual_magnitude","absolute_magnitude","parallax","bv_color","hd_number"
15880,"Gl 848",,"22 07 00.9","+25 20 42",0.3,84.5,-5.5,"F5 V","F",5,"V",3.76,3.27,79.9,0.44,210027
15949,"Gl 862",,"22 29 14.8","-30 01 06",0.843,164.7,7.4,"K5 V","K",5,"V",7.65,7.03,75.2,1.1,213042
15900,"Gl 851.2",,"22 14 38.9","-41 22 56",0.981,144,-18.8,"G5 V","G",5,"V",6.23,4.93,55,0.65,210918
15960,"Gl 863.3",,"22 36 07.4","-54 36 40",0.465,124,66.9,"G5 V","G",5,"V",7.58,5.11,32,0.66,213941
15998,"Wo 9797",,"22 50 10.3","-41 29 22",0.415,239.6,21.6,"G5 V","G",5,"V",7.77,5.36,33,0.74,216054
16041,"Gl 889","A","23 07 07.1","-23 09 37",0.34,152.5,19,"K5 V","K",5,"V",9.62,7.84,44,1.3,218294
16047,"GJ 1279",,"23 09 40.9","-67 44 00",0.387,235,,"K5 V","K",5,"V",8.39,7.62,70,1.2,218511
12505,"Wo 9015","A","00 32 44.2","-63 01 53",0.092,111.7,5,"A0 V","A",0,"V",5.75,4.15,47.8,0.04,3003
12506,"Wo 9015","B","00 32 44.2","-63 01 53",0.092,111.7,,"A","A",,,6,4.4,47.8,,
12580,"Gl 40","B","00 51 35.8","-22 54 37",0.678,113.5,,"m",,,,17.3,16.5,69.2,,
12585,"GJ 1023","B","00 54 19.5","+69 02 50",0.09,250.6,,,,,,10.4,9,53.3,0.64,
12587,"Gl 43",,"00 55 25.4","-51 49 58",0.47,41,,"m",,,,12.36,11.31,61.6,1.51,
15828,"NN 4227",,"21 51 16.8","+12 50 39",0.653,73.1,,"m",,,,13.42,11.32,38.1,1.5,
15830,"NN 4228",,"21 51 48.9","+13 36 18",0.224,123,,"m",,,,13.93,13.09,68,,
15832,"NN 4230","B","21 54 51.1","-77 20 16",0.288,129,,,,,,10.5,9,49,,
15837,"NN 4232",,"21 52 11.5","+27 25 00",0.806,159.4,,"m",,,,14.06,12.02,39,,
15841,"NN 4235",,"21 54 16.3","-43 36 06",0.607,89.2,,,,,,15.35,13.41,41,,
15846,"NN 4237","A","21 55 38.2","+33 02 16",0.01,315,,,,,,10,8.5,49.6,,
15847,"NN 4238","B","21 55 38.2","+33 02 16",0.01,315,,,,,,10.2,8.7,49.6,,
15849,"Gl 841","B","21 56 51.4","-51 00 26",0.39,189,,"DQ7",,,,14.68,13.86,68.4,0.16,
12575,"NN 3062",,"00 50 20.9","-27 26 13",0.166,65.8,,"A3","A",3,,9.6,6.11,20,0.89,
12553,"GJ 1020",,"00 45 28.7","-12 52 52",0.202,190.9,-12.8,"G0 V","G",0,"V",6.15,4.64,50,0.61,4307
12588,"NN 3064",,"00 55 50.2","-11 27 30",0.451,348,,"DA7","A",7,,15.25,13.42,43,0.35,
12572,"Gl 37",,"00 50 07.3","-10 38 40",0.322,225.5,8.2,"F7 IV-V","F",7,,5.17,4.12,61.8,0.5,4813
12543,"NN 3050",,"00 45 04.6","+75 56 13",0.395,103.2,-8.4,"G8","G",8,,7.19,5.6,48,0.75,4075
15023,"NN 3965",,"16 35 01.1","+43 17 39",0.356,143.6,,"DA8","A",8,,14.82,13.93,66.5,0.42,
15085,"Gl 649.1","C","16 57 42.2","+47 21 42",0.303,332.5,-7,"dK8","K",8,,7.9,6.68,57,1,153525
15094,"Gl 652",,"17 04 28.4","-28 34 56",0.277,160.5,15.3,"G8 IV-V","G",8,,6.58,5.8,69.8,0.83,154088
15178,"Gl 678","A","17 30 23.6","-01 03 47",0.213,214.3,-77.3,"G8 IV-V","G",8,,5.98,4.5,50.5,0.72,158614
15179,"Gl 678","B","17 30 23.6","-01 03 47",0.213,214.3,-73.8,"G8 IV-V","G",8,,6.2,4.7,50.5,,
15427,"NN 4101",,"19 04 54.9","+79 45 21",0.198,355.6,-32.2,"dK8","K",8,,9.72,7.31,33,1.1,
12557,"GJ 1021",,"00 45 45.5","-47 33 08",0.202,65.1,-11.4,"G5 IV","G",5,"IV",5.8,4.2,48.1,0.64,4391
14973,"Wo 9554",,"16 19 50.1","-50 09 20",0.162,251,-28.9,"G8 III","G",8,"III",4.02,2.2,43,1.08,146686
14993,"Gl 624.1","A","16 23 58.9","+61 30 51",0.08,338,-13.7,"G8 III","G",8,"III",2.74,1.1,46.2,0.91,148387
16073,"NN 4321","A","23 17 21.2","-66 55 09",0.559,138.1,67.8,"K5 V","K",5,"V",8.73,6.9,43,1.05,219509
16074,"NN 4322","B","23 17 17.2","-66 56 15",0.542,138.3,66.4,"K5 V","K",5,"V",9.04,7.21,43,1.11,219495
16060,"NN 4318",,"23 14 07.8","-70 03 29",0.2,68.3,,"G5 V","G",5,"V",6.9,5.56,54,,219048
16084,"NN 4330",,"23 18 10.2","-40 49 29",0.178,131.5,28.6,"F5 V","F",5,"V",5.53,3.49,39,0.44,219693
16178,"Wo 9843",,"23 51 57.7","+77 36 01",0.278,107.9,0.8,"F5 V","F",5,"V",6.56,3.46,24,0.43,223731
15054,"Gl 638.1",,"16 48 59.0","-47 43 09",0.096,246.6,29.4,"K0 V","K",0,"V",7.38,6.16,57,0.91,151337
15077,"Gl 646","A","16 58 54.0","-39 33 34",0.331,55.6,42.5,"K5 V","K",5,"V",8.5,7.82,73,1.16,153026
13328,"GJ 1080",,"05 28 13.9","+02 58 10",1.186,198.1,,"M5 V","M",5,"V",12.8,11.39,52.3,1.6,
15257,"Gl 699",,"17 57 48.8","+04 41 37",10.31,355.8,-111,"M5 V","M",5,"V",9.55,13.23,545.3,1.74,
15145,"Gl 667","A","17 18 57.4","-34 59 27",1.167,99.2,0,"K3 V","K",3,"V",6.29,7.02,140,1.04,156384
15146,"Gl 667","B","17 18 57.4","-34 59 27",1.167,99.2,1,"K5 V","K",5,"V",7.2,7.9,140,,
13794,"Gl 325","B","08 55 24.3","+70 47 38",1.407,254.1,44.3,"K6 V","K",6,"V",8.9,8.6,88.4,,
12906,"Gl 111",,"02 45 06.1","-18 34 22",0.334,83.5,25.6,"F6 V","F",6,"V",4.46,3.78,73,0.48,17206
12591,"NN 3067",,"00 56 19.6","-28 08 22",0.16,136,,,,,,10.96,9.2,43.9,0.96,
12592,"GJ 1024",,"00 56 39.1","+17 27 34",0.728,113.9,,"m",,,,13.71,12.5,57.4,1.64,
12598,"NN 3068",,"01 00 49.4","+66 56 53",0.27,257,,"m",,,,13.28,11.55,45,,
12602,"GJ 1025",,"01 00 56.6","-04 27 00",1.326,70.5,8,,,,,13.32,12.21,60,1.73,
12584,"GJ 1023","A","00 54 17.4","+69 02 50",0.094,253.9,,"G0","G",0,,9.7,8.3,53.3,0.55,5109
12650,"Gl 54.3",,"01 14 41.1","-64 45 48",0.353,149.6,,"K0 IV/V","K",0,,9.05,7.43,47.5,0.76,7621
12655,"Gl 55.2",,"01 16 39.5","+25 19 56",0.433,102,-30,"dK5","K",5,,10.08,8.2,42,1.36,
12631,"Gl 53.2",,"01 08 40.5","+17 14 36",0.583,187.6,-36,"dK6","K",6,,10.55,8.01,31,1.27,
12616,"GJ 1027",,"01 03 50.3","+05 04 35",0.388,52,61,"DA6","A",6,,13.96,12.31,46.8,0.31,
15505,"Gl 765.3",,"19 43 14.4","+58 01 00",0.129,114.2,-29.8,"F8","F",8,,6.23,4.35,42,0.55,186760
15556,"Gl 777","A","20 03 37.5","+29 53 46",0.864,127.7,-45.9,"G8 IV-V","G",8,,5.71,4.59,59.8,0.73,190360
15609,"Gl 791.3",,"20 31 32.1","+33 46 30",0.151,90,-26.8,"dK8","K",8,,9.23,7.19,39,1.13,
15656,"Wo 9706",,"20 45 21.5","+57 34 48",0.243,196.4,-32.4,"F8 IV-V","F",8,,4.51,2.72,43.8,0.54,198084
15712,"NN 4181",,"21 08 01.3","+25 10 32",0.157,187.6,-4.1,"dK8","K",8,,9.88,7.41,32,1.16,
15733,"Gl 824",,"21 16 32.1","+09 23 34",0.184,130.2,-18.3,"dK8","K",8,,7.95,6.88,61,1.02,202575
15834,"Gl 838.3","A","21 51 52.7","+42 20 40",0.343,208.5,-25.6,"G8","G",8,,7.86,5.64,36,0.78,207966
16007,"NN 4301",,"22 52 02.7","+23 24 49",0.202,139.1,-4.2,"dK8","K",8,,9.78,7.9,42,1.2,
15993,"NN 4296",,"22 47 31.8","+44 33 11",0.095,222.6,2.2,"F8","F",8,,9.6,8.3,56,,215857
15988,"NN 4295",,"22 46 31.7","+23 33 55",0.058,94.8,-4.3,"G8 IIIa CN","G",8,,3.96,2,40.9,1.07,215665
