"id","name","hd_id","ads_id","variable","ra","dec","visual_magnitude","bv_magnitude","spectral_type_full","spectral_type","sprectral_type_sub","intensity","note_flag"
53,\N,1083,\N,\N,"00 15 10.6","+27 16 59",6.35,-0.02,"  A1Vn              ",\N,\N,\N,"*"
54,\N,1089,\N,\N,"00 14 58.2","-34 54 16",6.17,1.34,"  K3III             ",\N,\N,\N,\N
55,\N,1141,207,\N,"00 16 14.0","+76 57 03",6.35,-0.07,"  B8Vnn             ",\N,\N,\N,"*"
56,\N,1185,215,\N,"00 16 21.6","+43 35 41",6.15,0.05,"  A2VpSi            ",\N,\N,\N,"*"
57,\N,1187,\N,\N,"00 16 08.9","-31 26 47",5.67,1.35,"  K5III             ",\N,\N,\N,"*"
58,\N,1221,\N,\N,"00 15 55.2","-75 54 41",6.49,1,"  G8-K0III          ",\N,\N,\N,\N
59," 36    Psc",1227,\N,\N,"00 16 34.1","+08 14 24",6.11,0.92,"  G8II-III          ",\N,\N,\N,\N
60,\N,1239,222,\N,"00 16 57.1","+61 32 00",5.74,0.88,"  G8III             ",\N,\N,\N,"*"
61,\N,1256,\N,113,"00 16 42.5","-20 12 38",6.47,-0.09,"  B8III             ",\N,\N,\N,"*"
62,\N,1279,\N,\N,"00 17 09.1","+47 56 51",5.89,-0.09,"  B7III             ",\N,\N,\N,\N
63," 24The And",1280,\N,116,"00 17 05.5","+38 40 54",4.61,0.06,"  A2V               ",\N,\N,\N,"*"
64,\N,1324,\N,\N,"00 16 49.0","-78 46 50",6.77,0.46,"  F3III             ",\N,\N,\N,\N
65,\N,1337,\N,"AO Cas   ","00 17 43.0","+51 25 59",6.14,-0.13,"  O9IIInn           ",\N,\N,\N,"*"
66,\N,1343,\N,\N,"00 17 32.6","-19 03 04",6.45,0.37,"  F4IV-V            ",\N,\N,\N,\N
67,\N,1367,\N,\N,"00 17 47.7","+01 41 20",6.17,0.94,"  K0II              ",\N,\N,\N,\N
68," 25Sig And",1404,\N,118,"00 18 19.7","+36 47 07",4.52,0.05,"  A2V               ",\N,\N,\N,"*"
69,\N,1419,\N,\N,"00 18 17.2","+11 12 21",6.05,1.03,"  K0III             ",\N,\N,\N,\N
70," 26    And",1438,254,119,"00 18 42.1","+43 47 28",6.11,-0.08,"  B8V               ",\N,\N,\N,"*"
71,\N,1439,\N,\N,"00 18 38.3","+31 31 02",5.87,-0.01,"  A0IV              ",\N,\N,\N,\N
72,\N,1461,\N,\N,"00 18 41.8","-08 03 10",6.46,0.68,"  G0V               ",\N,\N,\N,"*"
73,\N,1483,\N,\N,"00 18 42.6","-43 14 07",6.33,1.21,"  K2III             ",\N,\N,\N,\N
74,"  8Iot Cet",1522,\N,123,"00 19 25.7","-08 49 26",3.56,1.22,"  K1.5III           ",\N,\N,\N,"*"
75,\N,1527,\N,\N,"00 19 41.6","+40 43 47",6.33,1.18,"  K1III             ",\N,\N,\N,\N
76,\N,1561,\N,\N,"00 20 05.2","+48 51 55",6.52,\N,"  A0V s             ",\N,\N,\N,\N
77,"   Zet Tuc",1581,\N,\N,"00 20 04.3","-64 52 29",4.23,0.58,"  F9V               ",\N,\N,\N,\N
78,\N,1606,\N,128,"00 20 24.4","+30 56 09",5.9,-0.1,"  B7V               ",\N,\N,\N,\N
79,\N,1632,\N,\N,"00 20 45.5","+32 54 41",5.79,1.59,"  K5III             ",\N,\N,\N,\N
80," 41    Psc",1635,\N,132,"00 20 35.9","+08 11 25",5.37,1.34," gK3                ",\N,\N,\N,\N
81,\N,1663,287,\N,"00 20 54.5","+10 58 37",6.56,\N,"  A0V               ",\N,\N,\N,"*"
82," 27Rho And",1671,\N,\N,"00 21 07.3","+37 58 07",5.18,0.42,"  F5III             ",\N,\N,\N,\N
83,"   Pi  Tuc",1685,\N,\N,"00 20 39.0","-69 37 30",5.51,-0.05,"  B9V               ",\N,\N,\N,\N
84,"   Iot Scl",1737,\N,\N,"00 21 31.2","-28 58 54",5.18,1,"  G5III             ",\N,\N,\N,\N
85,\N,1760,\N,"T Cet    ","00 21 46.3","-20 03 28",5.12,1.82,"  M5IIe             ",\N,\N,\N,"*"
86," 42    Psc",1796,303,\N,"00 22 25.5","+13 28 57",6.23,1.22,"  K3III             ",\N,\N,\N,"*"
87,\N,1801,\N,\N,"00 21 28.6","-77 25 37",5.97,1.4,"  K3III             ",\N,\N,\N,\N
88,"  9    Cet",1835,\N,"BE Cet   ","00 22 51.8","-12 12 34",6.39,0.66,"  G2V               ",\N,\N,\N,"*"
89,\N,1909,\N,\N,"00 23 12.6","-31 02 10",6.55,0,"  B9IVMn            ",\N,\N,\N,"*"
90,\N,1967,\N,"R And    ","00 24 02.0","+38 34 38",7.39,1.97,"  S6.5IIIeZr6Ti2    ",\N,\N,\N,"*"
91,\N,1976,328,155,"00 24 15.6","+52 01 12",5.57,-0.12,"  B5IV              ",\N,\N,\N,"*"
92," NOVA 1572",\N,\N,"B Cas    ",\N,\N,\N,\N,"                    ",\N,\N,\N,"*"
93," 12    Cas",2011,\N,\N,"00 24 47.5","+61 49 52",5.4,0,"  B9III             ",\N,\N,\N,\N
94,\N,2023,\N,\N,"00 24 29.7","-02 13 09",6.07,1.22,"  K1III             ",\N,\N,\N,\N
95," 47    Tuc",\N,\N,\N,\N,\N,\N,\N,"                    ",\N,\N,\N,"*"
96,\N,2054,\N,159,"00 25 06.4","+53 02 49",5.74,-0.06,"  B9IV              ",\N,\N,\N,"*"
97," 44    Psc",2114,\N,\N,"00 25 24.2","+01 56 23",5.77,0.86,"  G5III             ",\N,\N,\N,"*"
98,"   Bet Hyi",2151,\N,161,"00 25 45.1","-77 15 15",2.8,0.62,"  G2IV              ",\N,\N,\N,"*"
99,"   Alp Phe",2261,\N,\N,"00 26 17.0","-42 18 22",2.39,1.09,"  K0III             ",\N,\N,\N,"*"
100,"   Kap Phe",2262,\N,\N,"00 26 12.2","-43 40 48",3.94,0.17,"  A7V               ",\N,\N,\N,\N
101," 10    Cet",2273,\N,"Var?     ","00 26 37.4","-00 02 59",6.19,0.9,"  G8III             ",\N,\N,\N,"*"
102,\N,2363,\N,\N,"00 27 14.7","-25 32 50",5.98,1.03,"  G8III             ",\N,\N,\N,\N
103," 47    Psc",2411,\N,"TV Psc   ","00 28 02.9","+17 53 35",5.06,1.65,"  M3III             ",\N,\N,\N,"*"
104,\N,2421,\N,\N,"00 28 13.7","+44 23 40",5.17,0.03,"  A2V s             ",\N,\N,\N,"*"
105,"   Eta Scl",2429,\N,"Eta Scl  ","00 27 55.7","-33 00 26",4.81,1.64,"  M4III             ",\N,\N,\N,"*"
106," 48    Psc",2436,\N,\N,"00 28 12.7","+16 26 42",6.06,1.58,"  K5III             ",\N,\N,\N,\N
107,\N,2454,\N,\N,"00 28 20.1","+10 11 23",6.04,0.43,"  F6Va vw           ",\N,\N,\N,"*"
108,\N,2475,\N,\N,"00 28 21.1","-20 20 06",6.43,0.59,"  G0V               ",\N,\N,\N,"*"
109,\N,2490,\N,\N,"00 28 26.4","-39 54 54",5.43,1.56,"  M0III             ",\N,\N,\N,"*"
110,\N,2507,\N,\N,"00 28 56.6","+36 54 00",6.26,0.92,"  G5III             ",\N,\N,\N,\N
111,\N,2529,\N,\N,"00 28 43.1","-50 31 58",6.26,1.09,"  K0III             ",\N,\N,\N,\N
112,\N,2589,\N,\N,"00 30 55.0","+77 01 10",6.21,0.84,"  K0IV              ",\N,\N,\N,"*"
113,\N,2626,412,\N,"00 30 19.9","+59 58 38",5.94,0.01,"  B9IIIn            ",\N,\N,\N,"*"
114," 28    And",2628,409,"GN And   ","00 30 07.3","+29 45 06",5.23,0.24,"  A7III             ",\N,\N,\N,"*"
115,\N,2630,\N,\N,"00 29 51.9","-14 51 51",6.14,0.37,"  F2III             ",\N,\N,\N,"*"
116,\N,2632,\N,\N,"00 29 48.9","-32 07 00",6.57,1.34,"  K4III             ",\N,\N,\N,\N
117," 12    Cet",2637,410,\N,"00 30 02.4","-03 57 26",5.72,1.56,"  M0III             ",\N,\N,\N,"*"
118,\N,2696,\N,\N,"00 30 22.7","-23 47 16",5.19,0.12,"  A5Vn              ",\N,\N,\N,"*"
119,\N,2724,\N,"BB Phe   ","00 30 27.8","-40 56 22",6.19,0.33,"  F2III             ",\N,\N,\N,"*"
120,\N,2726,\N,\N,"00 30 26.1","-48 12 54",5.69,0.35,"  F2V               ",\N,\N,\N,\N
121," 13    Cas",2729,\N,\N,"00 31 25.3","+66 31 10",6.18,-0.1,"  B6V               ",\N,\N,\N,"*"
122,\N,2767,\N,\N,"00 31 25.6","+33 34 54",5.87,1.14,"  K1III             ",\N,\N,\N,\N
123," 14Lam Cas",2772,434,\N,"00 31 46.4","+54 31 20",4.73,-0.1,"  B8Vn              ",\N,\N,\N,"*"
124,\N,2774,\N,\N,"00 31 41.2","+52 50 22",5.6,1.15,"  K2III             ",\N,\N,\N,\N
125,"   Lam1Phe",2834,\N,\N,"00 31 25.0","-48 48 13",4.77,0.02,"  A0V               ",\N,\N,\N,"*"
126,"   Bet1Tuc",2884,\N,\N,"00 31 32.7","-62 57 29",4.37,-0.07,"  B9V               ",\N,\N,\N,"*"
127,"   Bet2Tuc",2885,\N,\N,"00 31 33.6","-62 57 57",4.54,0.15,"  A2V+A7V           ",\N,\N,\N,"*"
128,\N,2888,\N,\N,"00 32 26.8","+43 29 41",6.7,-0.01,"  A1Vn              ",\N,\N,\N,"*"
129,\N,2904,\N,\N,"00 33 19.3","+70 58 54",6.42,-0.01,"  A0Vn              ",\N,\N,\N,\N
130," 15Kap Cas",2905,\N,"Kap Cas  ","00 33 00.0","+62 55 54",4.16,0.14,"  B1Ia              ",\N,\N,\N,"*"
131," 52    Psc",2910,452,\N,"00 32 35.5","+20 17 40",5.38,1.08,"  K0III             ",\N,\N,\N,\N
