"id","name","hd_id","ads_id","variable","ra","dec","visual_magnitude","bv_magnitude","spectral_type_full","spectral_type","sprectral_type_sub","intensity","note_flag"
1540,\N,30610,\N,1718,"04 44 57.9","-63 13 47",6.46,1.08,"  K0-1III           ",\N,\N,\N,\N
1541,"   Mu  Men",30612,\N,\N,"04 43 03.9","-70 55 52",5.54,-0.12,"  B8II-IIISi:       ",\N,\N,\N,\N
1542,"  9Alp Cam",30614,\N,\N,"04 54 03.0","+66 20 34",4.29,0.03,"  O9.5Ia            ",\N,\N,\N,"*"
1543,"  1Pi 3Ori",30652,\N,1731,"04 49 50.4","+06 57 41",3.19,0.45,"  F6V               ",\N,\N,\N,"*"
1544,"  2Pi 2Ori",30739,\N,\N,"04 50 36.7","+08 54 01",4.36,0.01,"  A1Vn              ",\N,\N,\N,"*"
1545,\N,30743,\N,\N,"04 49 42.2","-13 46 11",6.26,0.44,"  F5V               ",\N,\N,\N,\N
1546,\N,30752,\N,\N,"04 53 09.8","+52 50 27",6.41,\N,"  A2V               ",\N,\N,\N,\N
1547," 97    Tau",30780,\N,"V480 Tau ","04 51 22.5","+18 50 23",5.1,0.21,"  A7IV-V            ",\N,\N,\N,"*"
1548,\N,30788,\N,\N,"04 48 33.8","-43 58 48",6.72,0.95,"  G8III             ",\N,\N,\N,\N
1549," 60    Eri",30814,\N,1740,"04 50 11.6","-16 13 02",5.03,0.98,"  K0III             ",\N,\N,\N,\N
1550,\N,30823,\N,\N,"04 52 47.8","+42 35 12",5.71,0.11,"  A3III             ",\N,\N,\N,\N
1551,"  2    Aur",30834,\N,\N,"04 52 38.0","+36 42 11",4.78,1.41,"  K2.5IIIbBa0.4     ",\N,\N,\N,"*"
1552,"  3Pi 4Ori",30836,\N,1742,"04 51 12.4","+05 36 18",3.69,-0.17,"  B2III+B2IV        ",\N,\N,\N,"*"
1553,\N,30870,\N,\N,"04 51 43.4","+09 58 30",6.11,0.08,"  B5V               ",\N,\N,\N,"*"
1554,\N,30912,\N,\N,"04 52 47.1","+27 53 51",5.97,0.37,"  F2IV              ",\N,\N,\N,"*"
1555,"  5    Cam",30958,3508,\N,"04 55 03.1","+55 15 33",5.52,0.04,"  B9.5V             ",\N,\N,\N,"*"
1556,"  4Omi1Ori",30959,\N,"Omi1 Ori ","04 52 32.0","+14 15 02",4.74,1.84,"  S3.5/1-           ",\N,\N,\N,"*"
1557,\N,30985,\N,\N,"04 50 16.2","-41 19 15",6.07,0.37,"  F2-3V             ",\N,\N,\N,"*"
1558,\N,31069,\N,\N,"04 54 51.3","+44 03 39",6.08,-0.02,"  A0V               ",\N,\N,\N,\N
1559,\N,31093,\N,\N,"04 51 28.2","-34 54 23",5.86,0.08,"  A1Vn              ",\N,\N,\N,\N
1560," 61Ome Eri",31109,\N,\N,"04 52 53.7","-05 27 10",4.39,0.25,"  F4III+A6III       ",\N,\N,\N,"*"
1561,\N,31134,\N,\N,"04 56 07.1","+52 52 10",5.75,0.11,"  A2V s             ",\N,\N,\N,\N
1562,"  5    Ori",31139,\N,1755,"04 53 22.8","+02 30 29",5.33,1.64,"  M1III             ",\N,\N,\N,\N
1563,"   Iot Pic",31203,\N,\N,"04 50 55.2","-53 27 41",5.61,0.33,"  F0IV              ",\N,\N,\N,"*"
1564,"   Iot Pic",31204,\N,\N,"04 50 56.3","-53 27 35",6.42,\N,"  F4V:              ",\N,\N,\N,"*"
1565,\N,31209,\N,\N,"04 53 55.8","+01 34 10",6.61,0.04,"  A1Vn              ",\N,\N,\N,\N
1566,\N,31236,\N,\N,"04 54 58.3","+19 29 07",6.37,0.29,"  F3IV              ",\N,\N,\N,"*"
1567,"  8Pi 5Ori",31237,\N,"Pi5 Ori  ","04 54 15.1","+02 26 26",3.72,-0.18,"  B3III+B0V         ",\N,\N,\N,"*"
1568,"  7    Cam",31278,3536,\N,"04 57 17.2","+53 45 08",4.47,-0.02,"  A1V               ",\N,\N,\N,"*"
1569,"  6    Ori",31283,\N,\N,"04 54 46.9","+11 25 34",5.19,0.12,"  A3V               ",\N,\N,\N,\N
1570,"  7Pi 1Ori",31295,\N,\N,"04 54 53.8","+10 09 03",4.65,0.09,"  A0Vp              ",\N,\N,\N,"*"
1571,\N,31296,\N,1763,"04 54 47.8","+07 46 45",5.33,1.22," gK1                ",\N,\N,\N,\N
1572,\N,31312,\N,\N,"05 02 20.1","+74 16 09",6.06,1.57,"  K5III             ",\N,\N,\N,\N
1573,\N,31327,\N,\N,"04 56 19.9","+36 10 08",6.07,0.41,"  B2Ib              ",\N,\N,\N,"*"
1574,\N,31331,\N,\N,"04 54 50.7","+00 28 03",5.99,-0.12,"  B5V               ",\N,\N,\N,\N
1575,\N,31362,\N,\N,"04 56 15.6","+24 35 32",6.37,0.33,"  F0                ",\N,\N,\N,\N
1576,\N,31373,\N,\N,"04 55 50.3","+15 02 24",5.81,-0.08,"  B9V               ",\N,\N,\N,\N
1577,"  3Iot Aur",31398,\N,1778,"04 56 59.6","+33 09 58",2.69,1.53,"  K3II              ",\N,\N,\N,"*"
1578,\N,31411,\N,\N,"04 55 58.4","+05 23 57",6.5,0.02,"  A0V               ",\N,\N,\N,\N
1579,\N,31414,\N,\N,"04 55 06.8","-16 44 26",5.7,0.96," gG9                ",\N,\N,\N,\N
1580,"  9Omi2Ori",31421,3540,\N,"04 56 22.3","+13 30 52",4.07,1.15,"  K2-IIIFe-1        ",\N,\N,\N,"*"
1581,\N,31444,\N,"R Eri    ","04 55 18.6","-16 25 04",5.72,0.88," gG4                ",\N,\N,\N,"*"
1582," 62    Eri",31512,\N,\N,"04 56 24.2","-05 10 17",5.51,-0.13,"  B6V               ",\N,\N,\N,\N
1583,\N,31517,\N,\N,"04 55 30.2","-25 43 40",6.72,0.27,"  F0-2III           ",\N,\N,\N,\N
1584,\N,31529,\N,\N,"04 54 54.8","-39 37 43",6.1,1.42,"  K3III             ",\N,\N,\N,\N
1585,\N,31539,\N,\N,"04 57 22.3","+17 09 13",5.48,1.31," gK1                ",\N,\N,\N,"*"
1586," 99    Tau",31553,3557,\N,"04 57 48.7","+23 56 55",5.79,1.11," gG8                ",\N,\N,\N,\N
1587,\N,31563,\N,\N,"05 04 13.0","+73 45 50",6.66,\N,"  K0                ",\N,\N,\N,\N
1588,"  8    Cam",31579,\N,\N,"04 59 46.3","+53 09 20",6.08,1.46,"  K4III             ",\N,\N,\N,\N
1589,\N,31590,\N,\N,"05 04 39.8","+74 04 01",5.96,\N,"  A1V               ",\N,\N,\N,"*"
1590," 98    Tau",31592,3547,\N,"04 58 09.4","+25 03 01",5.81,0,"  A0V               ",\N,\N,\N,"*"
1591,\N,31623,\N,\N,"04 57 17.2","-01 04 02",6.23,0.42,"  F2                ",\N,\N,\N,\N
1592,"  4Ome Aur",31647,3572,\N,"04 59 15.4","+37 53 25",4.94,0.04,"  A1V               ",\N,\N,\N,"*"
1593,\N,31662,3590,\N,"05 01 35.9","+61 04 41",6.03,0.41,"  F4V               ",\N,\N,\N,"*"
1594,\N,31675,\N,\N,"05 02 50.4","+66 49 22",6.19,0.48," dF6                ",\N,\N,\N,"*"
1595,\N,31726,\N,\N,"04 57 44.8","-14 13 53",6.15,-0.21,"  B1V               ",\N,\N,\N,\N
1596,\N,31739,3570,\N,"04 58 10.8","-02 12 45",6.35,0.1,"  A2V               ",\N,\N,\N,\N
1597,\N,31746,\N,\N,"04 54 53.0","-58 32 50",6.12,0.44,"  F3V               ",\N,\N,\N,\N
1598,\N,31754,\N,1777,"04 53 30.5","-66 40 32",6.41,1.63,"  M0-1III           ",\N,\N,\N,"*"
1599,"  5    Aur",31761,3589,\N,"05 00 18.3","+39 23 41",5.95,0.41,"  F5V               ",\N,\N,\N,"*"
1600,\N,31764,3579,1788,"04 58 59.4","+14 32 34",6.09,0.04,"  B7V               ",\N,\N,\N,"*"
1601," 10Pi 6Ori",31767,\N,1786,"04 58 32.9","+01 42 51",4.47,1.4,"  K2-II             ",\N,\N,\N,\N
1602,"  6    Aur",31780,\N,\N,"05 00 23.2","+39 39 18",6.58,\N,"  K4I               ",\N,\N,\N,\N
1603," 10Bet Cam",31910,3615,\N,"05 03 25.1","+60 26 32",4.03,0.92,"  G1Ib-IIa          ",\N,\N,\N,"*"
1604,\N,31925,3588,1793,"04 59 01.3","-16 22 33",5.66,0.43,"  F3V+F9V           ",\N,\N,\N,"*"
1605,"  7Eps Aur",31964,3605,"Eps Aur  ","05 01 58.1","+43 49 24",2.99,0.54,"  F0Iae+B           ",\N,\N,\N,"*"
1606,\N,31975,\N,\N,"04 53 05.5","-72 24 27",6.28,0.52,"  F6V               ",\N,\N,\N,\N
1607,\N,31996,\N,"R Lep    ","04 59 36.5","-14 48 21",7.71,5.74,"  C6IIe             ",\N,\N,\N,"*"
1608," 63    Eri",32008,\N,\N,"04 59 50.4","-10 15 48",5.38,0.8,"  G4V               ",\N,\N,\N,\N
1609,\N,32039,3597,1800,"05 00 32.6","+03 36 55",7.03,\N,"  B9Vn              ",\N,\N,\N,"*"
1610,\N,32040,3597,1800,"05 00 33.9","+03 36 58",6.66,-0.07,"  B9Vn              ",\N,\N,\N,"*"
1611," 64    Eri",32045,\N,"S Eri    ","04 59 55.8","-12 32 15",4.79,0.26,"  F0IV              ",\N,\N,\N,"*"
1612,"  8Zet Aur",32068,\N,"Zet Aur  ","05 02 28.7","+41 04 33",3.75,1.22,"  K4II+B8V          ",\N,\N,\N,"*"
1613,\N,32115,\N,\N,"05 00 39.8","-02 03 56",6.32,0.28,"  A8IV              ",\N,\N,\N,\N
1614,\N,32147,\N,\N,"05 00 49.0","-05 45 12",6.22,1.06,"  K3V               ",\N,\N,\N,\N
1615,\N,32188,\N,1810,"05 03 18.6","+41 26 30",6.14,0.16,"  A2IIIShell?       ",\N,\N,\N,"*"
1616,\N,32196,\N,\N,"05 31 48.0","+85 56 19",6.51,0.32,"  A5m               ",\N,\N,\N,"*"
1617," 65Psi Eri",32249,\N,\N,"05 01 26.3","-07 10 26",4.81,-0.19,"  B3V               ",\N,\N,\N,\N
1618,\N,32263,\N,1806,"05 01 50.3","+00 43 20",5.92,1.27,"  K0                ",\N,\N,\N,\N
1619,\N,32273,3623,\N,"05 02 00.0","+01 36 32",6.24,-0.04,"  B8V               ",\N,\N,\N,"*"
1620,"102Iot Tau",32301,\N,\N,"05 03 05.7","+21 35 24",4.64,0.16,"  A7V               ",\N,\N,\N,"*"
1621,\N,32309,\N,\N,"05 01 25.6","-20 03 07",4.91,-0.05,"  B9.5Vn            ",\N,\N,\N,"*"
1622," 11    Cam",32343,\N,"BV Cam   ","05 06 08.5","+58 58 21",5.08,-0.08,"  B2.5Ve            ",\N,\N,\N,"*"
1623," 12    Cam",32357,\N,"BM Cam   ","05 06 12.2","+59 01 16",6.08,1.12,"  K0III             ",\N,\N,\N,"*"
1624,\N,32356,\N,\N,"05 06 29.7","+61 10 12",6.04,1.37,"  K5II              ",\N,\N,\N,\N
1625,\N,32393,\N,\N,"05 02 45.5","-04 12 35",5.85,1.21,"  K3                ",\N,\N,\N,"*"
1626,\N,32406,\N,\N,"05 04 14.5","+30 29 41",6.14,1.21,"  K0II-III          ",\N,\N,\N,\N
1627,\N,32428,\N,\N,"05 04 36.9","+32 19 13",6.62,0.27,"  A4m               ",\N,\N,\N,"*"
1628,\N,32436,\N,\N,"05 02 09.8","-26 16 30",5.02,1.07,"  K1III             ",\N,\N,\N,\N
1629,"   Eta Men",32440,\N,\N,"04 55 11.2","-74 56 13",5.47,1.52,"  K4III             ",\N,\N,\N,\N
1630,\N,32445,3667,\N,"05 06 22.0","+54 24 21",7.24,\N,"  G5                ",\N,\N,\N,"*"
1631,\N,32453,\N,\N,"05 01 34.5","-39 43 05",6.03,0.88,"  G5III             ",\N,\N,\N,\N
1632,\N,32480,\N,\N,"05 04 37.9","+27 41 46",6.6,0.24,"  F0III             ",\N,\N,\N,\N
1633,\N,32482,\N,\N,"05 04 21.6","+21 16 41",6.19,1.32,"  K0                ",\N,\N,\N,\N
1634,"  1    Lep",32503,\N,\N,"05 02 44.9","-22 47 42",5.75,1.2,"  K1IV              ",\N,\N,\N,"*"
1635,\N,32515,\N,\N,"05 02 22.8","-31 46 17",5.94,1.17,"  G8III             ",\N,\N,\N,\N
1636,\N,32518,\N,\N,"05 09 36.7","+69 38 22",6.41,1.11,"  K1III             ",\N,\N,\N,\N
1637,"  9    Aur",32537,3675,\N,"05 06 40.6","+51 35 52",5,0.33,"  F0V               ",\N,\N,\N,"*"
1638," 11    Ori",32549,\N,"V1032 Ori","05 04 34.1","+15 24 15",4.68,-0.06,"  A0pSi             ",\N,\N,\N,"*"
1639,\N,32608,\N,\N,"05 06 00.9","+35 56 11",6.52,0.16,"  A5V               ",\N,\N,\N,\N
1640,\N,32612,\N,\N,"05 03 52.0","-14 22 10",6.41,-0.18,"  B2.5IV            ",\N,\N,\N,\N
1641," 10Eta Aur",32630,\N,1822,"05 06 30.9","+41 14 04",3.17,-0.18,"  B3V               ",\N,\N,\N,"*"
1642,\N,32642,3672,\N,"05 05 32.1","+19 48 23",6.44,0.21,"  A5m               ",\N,\N,\N,\N
1643,\N,32650,\N,"BN Cam   ","05 12 22.4","+73 56 48",5.43,-0.12,"  B9pSi             ",\N,\N,\N,"*"
1644,\N,32655,\N,\N,"05 06 49.6","+43 10 29",6.2,0.43,"  F2IIp:            ",\N,\N,\N,\N
1645,\N,32667,\N,\N,"05 03 53.3","-24 23 16",5.61,0.1,"  A3m               ",\N,\N,\N,\N
1646,\N,32686,\N,\N,"05 04 54.5","-03 02 23",6.05,-0.11,"  B5IV              ",\N,\N,\N,"*"
1647,\N,32715,\N,\N,"05 09 44.5","+64 55 10",6.41,0.4,"  F6V               ",\N,\N,\N,\N
1648,\N,32736,\N,"W Ori    ","05 05 23.7","+01 10 39",6.17,3.45,"  C6II              ",\N,\N,\N,"*"
1649,"   Eta1Pic",32743,\N,\N,"05 02 48.6","-49 09 05",5.38,0.42,"  F2V               ",\N,\N,\N,\N
1650,\N,32781,3738,1854,"05 14 35.6","+76 28 22",6.37,-0.02,"  A0V               ",\N,\N,\N,"*"
1651,\N,32820,\N,\N,"05 03 54.0","-41 44 42",6.31,0.53,"  F8V               ",\N,\N,\N,\N
1652,"   Gam1Cae",32831,\N,"Var?     ","05 04 24.4","-35 29 00",4.55,1.2,"  K3III             ",\N,\N,\N,"*"
1653,"   Gam2Cae",32846,\N,"X Cae    ","05 04 26.1","-35 42 19",6.34,0.3,"  F1III             ",\N,\N,\N,"*"
1654,"  2Eps Lep",32887,\N,1826,"05 05 27.7","-22 22 16",3.19,1.46,"  K5III             ",\N,\N,\N,\N
1655,\N,32890,\N,\N,"05 05 16.2","-26 09 09",5.73,1.17,"  K2III             ",\N,\N,\N,\N
1656,"104    Tau",32923,3701,\N,"05 07 27.0","+18 38 42",5,0.65,"  G4V               ",\N,\N,\N,"*"
1657," 66    Eri",32964,3698,1831,"05 06 45.7","-04 39 18",5.12,-0.06,"  B9V+A1V           ",\N,\N,\N,"*"
1658,"106    Tau",32977,\N,\N,"05 07 48.4","+20 25 06",5.3,0.09,"  A5V               ",\N,\N,\N,"*"
1659,"103    Tau",32990,3709,\N,"05 08 06.6","+24 15 55",5.5,0.06,"  B2V               ",\N,\N,\N,"*"
1660,"105    Tau",32991,\N,\N,"05 07 55.5","+21 42 17",5.89,0.19,"  B2Ve              ",\N,\N,\N,"*"
1661,\N,32996,\N,\N,"05 06 36.7","-13 07 19",6.05,-0.06,"  A0V               ",\N,\N,\N,\N
1662," 13    Ori",33021,\N,\N,"05 07 38.3","+09 28 19",6.17,0.62,"  G1IV              ",\N,\N,\N,"*"
1663,"   Eta2Pic",33042,\N,1827,"05 04 58.0","-49 34 40",5.03,1.49,"  K5III             ",\N,\N,\N,"*"
1664," 14    Ori",33054,3711,\N,"05 07 52.9","+08 29 54",5.34,0.33,"  Am                ",\N,\N,\N,"*"
1665,\N,33093,\N,\N,"05 07 25.0","-12 29 26",5.97,0.6,"  F7V               ",\N,\N,\N,\N
1666," 67Bet Eri",33111,\N,1841,"05 07 51.0","-05 05 11",2.79,0.13,"  A3III             ",\N,\N,\N,"*"
1667,\N,33116,\N,\N,"05 05 00.6","-54 24 27",6.27,1.54,"  M2III             ",\N,\N,\N,\N
1668,\N,33167,\N,\N,"05 10 42.9","+46 57 44",5.68,0.42,"  F5V               ",\N,\N,\N,"*"
1669,\N,33203,3734,\N,"05 10 18.9","+37 18 07",6.02,0.72,"  K3:+B2II:         ",\N,\N,\N,"*"
1670,\N,33204,3730,\N,"05 09 45.1","+28 01 50",6.01,0.27,"  A5m               ",\N,\N,\N,"*"
1671,\N,33224,3722,\N,"05 08 20.2","-08 39 54",5.78,-0.06,"  B8V               ",\N,\N,\N,"*"
1672," 16    Ori",33254,\N,1849,"05 09 19.6","+09 49 46",5.43,0.24,"  A2m               ",\N,\N,\N,"*"
1673," 68    Eri",33256,\N,\N,"05 08 43.6","-04 27 22",5.12,0.44,"  F2V               ",\N,\N,\N,\N
1674,"   Zet Dor",33262,\N,\N,"05 05 30.6","-57 28 22",4.72,0.52,"  F7V               ",\N,\N,\N,\N
1675,\N,33266,\N,\N,"05 13 03.2","+61 51 00",6.17,0.02,"  A2III             ",\N,\N,\N,\N
1676," 15    Ori",33276,\N,\N,"05 09 42.0","+15 35 50",4.82,0.32,"  F2IV              ",\N,\N,\N,"*"
1677,"   Bet Men",33285,\N,\N,"05 02 43.0","-71 18 52",5.31,1,"  G8III             ",\N,\N,\N,\N
1678," 14    Cam",33296,\N,\N,"05 13 31.3","+62 41 29",6.5,0.21,"  A7Vn              ",\N,\N,\N,\N
1679," 69Lam Eri",33328,\N,"Lam Eri  ","05 09 08.8","-08 45 15",4.27,-0.19,"  B2IVne            ",\N,\N,\N,"*"
1680,\N,33377,\N,\N,"05 08 14.8","-35 43 06",6.52,1.08,"  K1III             ",\N,\N,\N,\N
1681,\N,33419,\N,\N,"05 10 03.2","-00 33 55",6.1,1.1,"  K0III             ",\N,\N,\N,\N
1682,\N,33519,\N,\N,"05 00 13.2","-78 18 01",6.29,1.51,"  K5-M0III          ",\N,\N,\N,\N
1683,\N,33541,\N,\N,"05 18 13.3","+73 16 05",5.74,\N,"  A0V               ",\N,\N,\N,\N
1684,\N,33554,\N,\N,"05 11 41.6","+16 02 44",5.18,1.49,"  K5III             ",\N,\N,\N,\N
1685,\N,33555,\N,\N,"05 10 58.0","-02 15 14",6.25,0.98,"  K1-IVa            ",\N,\N,\N,\N
1686,\N,33564,3864,\N,"05 22 33.5","+79 13 52",5.05,0.47,"  F6V               ",\N,\N,\N,"*"
1687,\N,33608,\N,\N,"05 11 19.2","-02 29 27",5.9,0.46,"  F5V               ",\N,\N,\N,\N
1688,\N,33618,\N,\N,"05 15 11.3","+59 24 20",6.15,1.18,"  K2III-IV          ",\N,\N,\N,\N
1689," 11Mu  Aur",33641,\N,\N,"05 13 25.7","+38 29 04",4.86,0.18,"  A4Vm              ",\N,\N,\N,\N
1690,\N,33647,3767,"V1085 Ori","05 11 41.4","+00 30 53",6.67,-0.07,"  B9Vn              ",\N,\N,\N,"*"
1691,\N,33646,3764,\N,"05 11 45.3","+01 02 13",5.89,0.66,"  G5III             ",\N,\N,\N,"*"
1692,\N,33654,\N,\N,"05 14 44.3","+53 12 50",6.2,0.07,"  A0V               ",\N,\N,\N,\N
1693,\N,33664,\N,"RX Lep   ","05 11 22.8","-11 50 57",5.68,1.46,"  M6III             ",\N,\N,\N,"*"
1694,\N,33667,\N,\N,"05 10 44.5","-25 54 34",6.41,1.25,"  K1III             ",\N,\N,\N,\N
1695,\N,33684,\N,"WZ Dor   ","05 07 34.0","-63 23 59",5.2,1.65,"  M3III             ",\N,\N,\N,"*"
1696,"  3Iot Lep",33802,3778,\N,"05 12 17.9","-11 52 09",4.45,-0.1,"  B8V               ",\N,\N,\N,"*"
1697,\N,33833,\N,\N,"05 12 48.2","-06 03 26",5.91,0.96,"  G7III             ",\N,\N,\N,\N
1698," 17Rho Ori",33856,3797,1872,"05 13 17.5","+02 51 40",4.46,1.19,"  K0.5III           ",\N,\N,\N,"*"
1699,\N,33872,\N,\N,"05 11 35.9","-37 23 43",6.57,1.62,"  K5III             ",\N,\N,\N,\N
1700,\N,33875,\N,\N,"05 06 09.3","-73 02 16",6.27,-0.01,"  A1V               ",\N,\N,\N,\N
1701,\N,33883,3799,\N,"05 13 31.6","+01 58 05",6.09,0.42,"  A5V               ",\N,\N,\N,"*"
1702,"  5Mu  Lep",33904,\N,"Mu  Lep  ","05 12 55.9","-16 12 20",3.31,-0.11,"  B9IIIpHgMn        ",\N,\N,\N,"*"
1703,\N,33946,\N,1874,"05 13 47.2","+00 33 37",6.32,1.46,"  M0V               ",\N,\N,\N,\N
1704,\N,33948,\N,\N,"05 13 33.3","-08 08 52",6.37,-0.13,"  B5V               ",\N,\N,\N,\N
1705,"  4Kap Lep",33949,3800,\N,"05 13 13.9","-12 56 29",4.36,-0.1,"  B9V               ",\N,\N,\N,"*"
1706," 14    Aur",33959,3824,"KW Aur   ","05 15 24.4","+32 41 16",5.02,0.23,"  A9IVDel Del       ",\N,\N,\N,"*"
1707,\N,34019,3845,"R Aur    ","05 17 17.8","+53 35 10",6.5,1.66,"  M7IIIe            ",\N,\N,\N,"*"
1708," 13Alp Aur",34029,3841,1897,"05 16 41.4","+45 59 53",0.08,0.8,"  G5IIIe+G0III      ",\N,\N,\N,"*"
1709,\N,34043,\N,1880,"05 14 44.1","+05 09 22",5.5,1.37," gK4                ",\N,\N,\N,\N
1710,\N,34045,\N,\N,"05 13 59.9","-14 36 24",6.21,0.37,"  F2III             ",\N,\N,\N,\N
1711,"108    Tau",34053,\N,\N,"05 15 27.7","+22 17 05",6.27,0.08,"  A2V               ",\N,\N,\N,\N
1712,\N,34078,3843,"AE Aur   ","05 16 18.2","+34 18 43",5.96,0.22,"  O9.5V             ",\N,\N,\N,"*"
1713," 19Bet Ori",34085,3823,1882,"05 14 32.3","-08 12 06",0.12,-0.03,"  B8Ia:             ",\N,\N,\N,"*"
1714,\N,34109,\N,\N,"05 43 48.7","+85 40 05",6.6,\N,"  A2V               ",\N,\N,\N,\N
1715,\N,34167,\N,1877,"05 13 46.5","-35 49 32",6.98,1.47,"  K4III             ",\N,\N,\N,\N
1716,"   Xi  Men",34172,\N,\N,"04 58 50.9","-82 28 14",5.85,0.93,"  G8-K0III          ",\N,\N,\N,\N
1717,\N,34180,\N,\N,"05 15 18.4","-01 24 33",6.15,0.39,"  F0IV              ",\N,\N,\N,\N
1718," 18    Ori",34203,\N,\N,"05 16 04.1","+11 20 29",5.56,-0.04,"  A0V               ",\N,\N,\N,\N
1719," 15    Cam",34233,\N,\N,"05 19 27.8","+58 07 02",6.13,-0.03,"  B5V               ",\N,\N,\N,"*"
1720,\N,34255,\N,\N,"05 20 22.6","+62 39 13",5.61,1.75,"  K4I:              ",\N,\N,\N,\N
1721,\N,34266,\N,\N,"05 14 28.8","-35 58 38",5.76,1.01,"  G8III             ",\N,\N,\N,\N
1722,\N,34269,\N,"PU Aur   ","05 18 15.9","+42 47 32",5.48,1.65,"  M4III             ",\N,\N,\N,"*"
1723,\N,34310,\N,\N,"05 15 24.3","-26 56 36",5.07,-0.1,"  B9V               ",\N,\N,\N,\N
1724,\N,34317,\N,\N,"05 16 41.1","+01 56 50",6.42,-0.02,"  A0V               ",\N,\N,\N,"*"
1725,\N,34332,\N,\N,"05 18 40.4","+40 27 54",6.18,1.37,"  K0                ",\N,\N,\N,\N
1726," 16    Aur",34334,3872,1909,"05 18 10.7","+33 22 18",4.54,1.27,"  K2.5IIIbFe-1      ",\N,\N,\N,"*"
1727,\N,34347,\N,\N,"05 13 53.3","-52 01 52",6.05,1.39,"  K3III             ",\N,\N,\N,\N
1728," 17    Aur",34364,\N,"AR Aur   ","05 18 18.9","+33 46 02",6.14,-0.06,"  B9.5V             ",\N,\N,\N,"*"
1729," 15Lam Aur",34411,3886,\N,"05 19 08.5","+40 05 57",4.71,0.63,"  G1.5IV-VFe-1      ",\N,\N,\N,"*"
1730,\N,34435,\N,\N,"05 15 47.0","-34 55 36",6.66,0.15,"  A2III-IV          ",\N,\N,\N,\N
1731,\N,34447,\N,\N,"05 16 48.1","-17 08 30",6.56,-0.16,"  B3IV              ",\N,\N,\N,\N
1732,\N,34452,\N,"IQ Aur   ","05 19 00.0","+33 44 54",5.41,-0.19,"  A0pSi             ",\N,\N,\N,"*"
1733,\N,34498,\N,\N,"05 20 02.3","+44 25 32",6.62,\N,"  K0                ",\N,\N,\N,\N
1734," 18    Aur",34499,3893,\N,"05 19 23.6","+33 59 08",6.49,0.24,"  A7V               ",\N,\N,\N,\N
1735," 20Tau Ori",34503,3877,\N,"05 17 36.4","-06 50 40",3.6,-0.11,"  B5III             ",\N,\N,\N,\N
1736,\N,34533,3903,\N,"05 20 39.3","+46 57 50",6.54,0.6,"  GIII+A2V          ",\N,\N,\N,"*"
1737,\N,34538,\N,1913,"05 17 40.2","-13 31 11",5.5,0.93,"sgG9                ",\N,\N,\N,\N
1738,\N,34557,\N,\N,"05 20 14.8","+41 05 10",5.52,0.11,"  A3V               ",\N,\N,\N,\N
1739,"109    Tau",34559,\N,\N,"05 19 16.6","+22 05 47",4.94,0.93,"  G8III             ",\N,\N,\N,\N
1740," 19    Aur",34578,\N,1925,"05 20 00.9","+33 57 29",5.03,0.27,"  A5II              ",\N,\N,\N,\N
1741,\N,34579,3894,\N,"05 19 14.7","+20 08 05",6.08,1.01,"  G8II-III+G1IV-V   ",\N,\N,\N,"*"
1742,\N,34587,\N,\N,"05 15 38.9","-52 10 55",6.49,1.21,"  K2III             ",\N,\N,\N,\N
1743,"   Omi Col",34642,\N,\N,"05 17 29.1","-34 53 43",4.83,1,"  K0IV              ",\N,\N,\N,\N
1744,"   The Dor",34649,\N,\N,"05 13 45.4","-67 11 07",4.83,1.28,"  K2.5IIIa          ",\N,\N,\N,\N
1745,\N,34653,\N,\N,"05 29 25.7","+77 58 39",6.56,0.14,"  A7III             ",\N,\N,\N,\N
1746," 21    Ori",34658,\N,1922,"05 19 11.2","+02 35 45",5.34,0.41,"  F5II              ",\N,\N,\N,"*"
1747,\N,34721,3899,\N,"05 18 50.4","-18 07 48",5.96,0.58,"  G0V               ",\N,\N,\N,"*"
1748,\N,34748,\N,\N,"05 19 35.2","-01 24 44",6.34,-0.11,"  B1.5Vn            ",\N,\N,\N,"*"
1749," 20Rho Aur",34759,\N,\N,"05 21 48.4","+41 48 16",5.23,-0.15,"  B3V               ",\N,\N,\N,"*"
1750,\N,34762,\N,\N,"05 20 59.3","+27 57 26",6.33,0.04,"  B9IV              ",\N,\N,\N,"*"
1751," 16    Cam",34787,\N,\N,"05 23 27.8","+57 32 40",5.28,-0.03,"  A0Vn              ",\N,\N,\N,\N
1752,\N,34790,\N,\N,"05 21 12.7","+29 34 12",5.76,0.06,"  A1V s             ",\N,\N,\N,"*"
1753,\N,34798,3910,\N,"05 19 17.5","-18 31 12",6.36,-0.16,"  B3V               ",\N,\N,\N,"*"
1754,\N,34797,3910,"TX Lep   ","05 19 18.3","-18 30 35",6.54,-0.11,"  B8/9III/IV        ",\N,\N,\N,"*"
1755,\N,34810,\N,\N,"05 20 56.6","+19 48 51",6.18,1.23,"  K0III             ",\N,\N,\N,\N
1756,"  6Lam Lep",34816,\N,\N,"05 19 34.5","-13 10 36",4.29,-0.26,"  B0.5IV            ",\N,\N,\N,"*"
1757,"  7Nu  Lep",34863,\N,\N,"05 19 59.1","-12 18 56",5.3,-0.12,"  B7IVnn            ",\N,\N,\N,\N
1758,\N,34868,\N,\N,"05 19 23.7","-27 22 08",5.99,-0.04,"  A0V               ",\N,\N,\N,\N
